ID,Direccion,Localidad,Coordenadas,
46182,calle 4  villa militar san borja  ,SAN BORJA-LIMA-LIMA,"(-12.096614,-76.983517)",
46183,calle 20 104 urbanización mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.097223,-76.981165)",
46184,calle 20 116 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.09724,-76.981281)",
46185,avenida buena vista 705 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.096811,-76.981193)",
46186,avenida buena vista 787 urbanizacion mariscal ramon castilla manzana c ,SAN BORJA-LIMA-LIMA,"(-12.096705,-76.981227)",
46187,avenida b 110 urbanización mariscal ramon castilla manzana d ,SAN BORJA-LIMA-LIMA,"(-12.096381,-76.981177)",
46188,avenida buena vista 625   ,SAN BORJA-LIMA-LIMA,"(-12.098778,-76.98109)",
46189,avenida buena vista 648 urbanización mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098772,-76.980583)",
46190,avenida buena vista 630 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.099013,-76.980547)",
46191,avenida buena vista 640 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098896,-76.980565)",
46192,avenida buena vista 644 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098787,-76.980583)",
46193,avenida buena vista 656 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098641,-76.9806)",
46194,avenida buena vista 660 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.09854,-76.980614)",
46195,avenida buena vista 664 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098529,-76.980614)",
46196,avenida buena vista 676 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098406,-76.980638)",
46197,avenida buena vista 654 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098654,-76.980597)",
46198,avenida buena vista 672 urbanización mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098425,-76.980636)",
46199,avenida buena vista 0 urbanizacion mariscal ramon castilla manzana b lote 11,SAN BORJA-LIMA-LIMA,"(-12.098276,-76.980656)",
46200,avenida buena vista 680 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098307,-76.980653)",
46201,avenida buena vista 696 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098185,-76.98067)",
46202,avenida buena vista 698 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.098172,-76.980671)",
46203,avenida buena vista 700 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.09798,-76.980606)",
46204,avenida buena vista 708 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097852,-76.980759)",
46205,avenida buena vista 704 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097967,-76.980743)",
46206,avenida buena vista 716 urbanización mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097747,-76.980774)",
46207,avenida buena vista 720 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097736,-76.980775)",
46208,avenida buena vista 724 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097628,-76.980791)",
46209,avenida buena vista 728 urbanización mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097614,-76.980793)",
46210,avenida buena vista 730 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097512,-76.980806)",
46211,avenida buena vista 734 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097499,-76.980809)",
46212,avenida buena vista 740 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.097397,-76.980823)",
46213,avenida buena vista 778 urbanizacion mariscal ramon castilla manzana b ,SAN BORJA-LIMA-LIMA,"(-12.096922,-76.980888)",
